"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"SFTPC" 95626.5778635417 -3.33294034611954 0.663685811468136 -5.02186469640922 5.11722278502862e-07 0.000301451682440321
"SOX14" 14.6048259728986 -3.74364053783182 0.731830422143283 -5.11544809365532 3.12997014070645e-07 0.000212081560117368
"SPATA21" 12.0881393200954 -2.10740268010556 0.434311240489501 -4.85228675576152 1.22045982505288e-06 0.00056171087759462
"SPDYC" 34.0958002687058 -2.1105451952985 0.477860934196753 -4.41665146544395 1.00241666697703e-05 0.00287367430829601
"SPRR2B" 165.542148649971 1.99841294797642 0.495755600303481 4.03104462511986 5.55294982831273e-05 0.00946660843206099
"SPRR2F" 379.757511347266 1.84716017707209 0.416213957845495 4.43800632404015 9.07959522175504e-06 0.00266841646077435
"SPRR2G" 470.004587889455 2.0182803491593 0.470396143532143 4.29059714223908 1.78193316167339e-05 0.00413968529644753
"SPRR4" 97.840898466142 1.99838591497122 0.483429687593588 4.13376746661705 3.56864547723348e-05 0.0069639975300925
"SRGAP3-AS2" 85.1522814150817 -1.92290314229392 0.454364618232998 -4.23207059953742 2.31549696542172e-05 0.00494351212758498
"STAC2" 43.9811398850483 -1.1181952569949 0.258728657209182 -4.32188405048166 1.54702486228106e-05 0.00366374538501182
"TCEAL5" 20.6013600160997 -1.61465058062552 0.386600699366109 -4.17653300491433 2.95985813100256e-05 0.00586990401541019
"TCF21" 394.378028974584 -1.33887748746698 0.313063503456429 -4.27669617405058 1.89687404565678e-05 0.00432434099025288
"TCN1" 428.01080157635 -1.69587774780021 0.389301108847797 -4.35621093610406 1.32333255261935e-05 0.00337201245291933
"TFF1" 34.5013805243337 -1.58480936871552 0.388954738641916 -4.07453415852209 4.61065457627259e-05 0.0084141968210553
"TKTL1" 119.452651825229 -3.17772835982484 0.467099834038807 -6.80310316607998 1.0238926886877e-11 5.5872489031833e-08
"TMEM100" 634.049584560215 -1.78866552803533 0.36277638521495 -4.9304905195952 8.20233974178288e-07 0.000408325863921041
"TMEM190" 77.8587377025552 -1.76045058254451 0.338453230192199 -5.20145894765074 1.97730151708836e-07 0.000155588115826891
"TMEM211" 9.59219657719601 -1.53867952822954 0.366748727639546 -4.19545975832753 2.72318634734082e-05 0.00562938004836311
"TNNT3" 182.288592524517 -1.78017575228605 0.323924234717195 -5.49565472876784 3.89263462718517e-08 4.99752823478567e-05
"TRIM53CP" 5.00039463232077 -3.30190603801955 0.654817108248317 -5.0424859039685 4.59522616192886e-07 0.000287413722481873
"TRIM72" 50.5477520651781 -2.07591328651958 0.343685251533369 -6.04015818909245 1.53963209102381e-09 3.67046625709308e-06
"TRPM1" 9.67240052019117 -1.56211197365656 0.336428448069116 -4.64322200640902 3.43017423147493e-06 0.00123235440938483
"TUBA3E" 9.48006311898589 -1.85748797487234 0.427499711487183 -4.34500404318526 1.39273097892807e-05 0.00343160472414065
"TUBB2B" 654.705963586939 -1.53755456634269 0.319186505201494 -4.81710392289947 1.45656836113031e-06 0.000646001309691848
"UMODL1" 67.1839579167007 -1.2608994325735 0.309338999176607 -4.07610885122711 4.57955876307566e-05 0.0084141968210553
"UNC5D" 20.0913899923578 -2.48999636161055 0.461971510189749 -5.38993489141315 7.04832149167933e-08 7.14895975923629e-05
"VIL1" 97.4257289101159 -2.62147909799568 0.385705499551786 -6.79658211003475 1.07130259519381e-11 5.5872489031833e-08
"ZNF208" 24.0200228520907 -1.06025288722417 0.26047237017303 -4.07050040094405 4.69122603887804e-05 0.0084141968210553
