id	filename	md5	size	state
075d11f1-ec6c-43d7-a0ae-dac734fb4deb	185a9974-8f6e-494c-9a66-251dc90b858a.mirbase21.mirnas.quantification.txt	575b719ed02f321785f9c969bb72e88b	50332	validated
078458cb-8665-486d-b8ac-c82444800e89	59cf08f5-549f-4bd1-944f-f4ce6b214c3f.mirbase21.mirnas.quantification.txt	d51a2f29f6f0923582d85807ab130cd2	50370	validated
07ce00ea-b84e-4fe7-926b-331b02c05e9f	7fbfa044-df58-4dd3-9584-061ccdd77b83.mirbase21.mirnas.quantification.txt	94db4a4f5b401a51f2ed53af3750eb62	50273	validated
07e58b3a-2eb4-4672-8f1f-676c54e014d1	c367a760-acc2-489b-a246-623103a2041a.mirbase21.mirnas.quantification.txt	e903c0006a090de1221b1e09d8337009	50242	validated
07e690a6-5057-499c-b0b8-148c9c919743	b0122c82-effe-4e54-bc7b-b1e98c788614.htseq.counts.gz	663665ab33b54e723de2cbb8e0853184	254980	validated
07eda80f-39c5-442c-986a-8515ab6f42f9	9495757f-f3f5-4d38-9fe0-b07a62c69c5d.mirbase21.mirnas.quantification.txt	a68e2f1ae93c96fea6a93bf403790952	50336	validated
07fa22d0-99b1-4364-9b93-d937005a2416	7df584d3-5b11-4987-8227-6d809e8305af.mirbase21.mirnas.quantification.txt	51550cb760688a6242cb3e6a301d370b	50150	validated
0813779f-3768-431a-ba86-53ddedfabc09	ac60c53a-5c3b-4a23-86a5-e52906ee9ff8.htseq.counts.gz	3235f97d55e42257a6d07f7f034c8c66	249694	validated
087b7930-d706-4ff0-bf37-ef30b40f525f	045e2535-012c-4cec-b386-9d6f62b91829.htseq.counts.gz	0201b85c8e141d34a088516bceccdcdf	265993	validated
08872838-a180-4775-af76-2070410bbbdb	c5f18a05-b05e-4419-ab3f-b52784fc4ce3.htseq.counts.gz	0ca21f2a770078a01e6e60c056dc02bf	248655	validated
08935296-478e-4f28-99bc-6c10b787b16c	121671ba-ff87-49f5-aa77-9a4fa8fcff9c.htseq.counts.gz	45b13e40bea8e36867ca97a8b359bff2	254100	validated
08b5b9bc-273b-4f63-90b9-d6b46cdd2651	05997328-b037-4fe8-aa48-fd5a0fa4c235.htseq.counts.gz	75a47b7a45ae0fd882449bbfffa776cb	254295	validated
08c04fb8-7c57-4d9b-a814-13b0c15fadf4	91cf5329-d3cc-4437-8078-25ea1f9d4969.mirbase21.mirnas.quantification.txt	55e66ec78e0dae54726afae4859bf0ac	50321	validated
08d5369e-a395-4ef1-aec6-eb96018875f0	92e4db06-c806-4ae1-8f6d-bed480aa3492.mirbase21.mirnas.quantification.txt	7b38afa8f733456157321a184b0bdf9c	50468	validated
08dd451b-7fe1-4d62-b32b-64cbc18a2043	494b0c1a-80e4-44b8-a253-800e66e30340.mirbase21.mirnas.quantification.txt	8acf4971036c8e78a022d0d111cd53d4	50348	validated
093e8c7c-eb15-4d55-a19e-9e23bc5ab633	47427fa7-80ab-4e05-81ce-4bdfb1e8c096.mirbase21.mirnas.quantification.txt	4eba2278fae62a56ea2caa23e0443b58	50360	validated
09596f6c-8833-4399-8c67-9e34cc732a34	bb3ae979-88ff-4b50-8f67-7aefd1ff06dc.htseq.counts.gz	52e2d326c70d2efbce79e6210657e100	256068	validated
09797e64-5a1f-485a-a4c9-616b3b134afa	e3efcdb1-3ebe-41d5-850e-a20a396bb6bf.mirbase21.mirnas.quantification.txt	0bcc52f2e2d475439e2f6620a9cb7a35	50218	validated
099729d4-bb60-4f99-9be8-924c9c7ec145	063b6ef4-e4a5-46cb-b6a4-6e032a6ed9a5.mirbase21.mirnas.quantification.txt	35975a4ad28d59edeb9d929f9c3a552a	50239	validated
09a2e7f5-6102-47ba-8c92-ef8cb82ae287	b0d00582-6574-491a-8efd-62cc8028d9be.mirbase21.mirnas.quantification.txt	d7c5919f2a24d5be7cfcc58a396e6544	50499	validated
09adb3e2-ab7f-4c5c-bef7-81edc266e559	21d669f3-9822-49d9-b7cd-cc0a8b955ae9.htseq.counts.gz	7eeb972a80dc629802c6737818b38e14	255970	validated
0a0b06a2-80ea-4f92-a993-7d19390b77eb	41021277-63e4-447f-9dbe-9b162dc65af8.htseq.counts.gz	b9e2405b588a043d05b910320145ab88	257324	validated
0a0eced9-b2b1-4414-89cd-c9159c708696	2097a7cb-ed81-4edd-847b-9997f76048ce.mirbase21.mirnas.quantification.txt	b2ac2225a90dd04c22751f2282ac7f63	50245	validated
0a56ba20-b497-4484-a858-d9e43431a7e1	c39e8b2e-37de-4ac7-bdbd-9d0cac614942.mirbase21.mirnas.quantification.txt	aa2e2dbb16e630cbaca40a8b43c41bad	50404	validated
0b01d042-35de-49b9-922a-537281ebaaa7	0086820e-b374-4783-9d19-71c9a8977e96.mirbase21.mirnas.quantification.txt	6c45efa5df09d050fd7aa9f106c3f5dd	50202	validated
0b0271cf-a55d-4ff9-84ce-0bbab190463e	46a06fb9-72a7-4c7e-bdf5-559de8e58ed0.htseq.counts.gz	5a7bb09a0d412674ef2cf5c056ad580a	253226	validated
0b158e62-3f15-4eb5-9ce7-e5daeb2b3221	5af9de4f-1220-4e7f-a58e-fd3473418754.htseq.counts.gz	2a9a328ff4dddca6cdce08a64d9795e3	248568	validated
0b2396e3-3b9e-42ed-8588-a68a3a4e468a	b3a6f7d7-5669-40ff-9d67-97bcbc71e505.htseq.counts.gz	1a361c8138356a6fdc7331892e9f2784	255462	validated
0b42a65e-fa0d-48f2-9fe9-33b8725fddef	d6c183d7-46e6-40af-ab9b-3e198dc977ab.mirbase21.mirnas.quantification.txt	1fd914fd5f9a6793a26c429e87215518	50485	validated
0b5db7ef-e25e-4796-8108-47f9b8300dda	41dab24b-dda9-48fa-811d-1af3b71b4cf7.mirbase21.mirnas.quantification.txt	afbf1b44fcfb2025abad4f563c41d6f5	50312	validated
0bbe2ff8-d631-414e-ae09-e4c459219a40	81d75a85-696a-4619-9558-c3ce273a228b.mirbase21.mirnas.quantification.txt	f2ab6b782d522aadc902b614e0f07887	50324	validated
0bff265a-8c84-48d9-b40b-99fa252c9b2a	4afe2df4-c573-411a-ae7d-f6188e3591ae.mirbase21.mirnas.quantification.txt	9740b6f0d32d7b6348ea3f112b3989c1	50197	validated
0c2b3499-f5d3-4163-89c0-88a9b5da8087	c6903237-c137-40d8-ba54-936099ab81d2.mirbase21.mirnas.quantification.txt	5ba0b2873a6a34bd7839cae66ce60201	50390	validated
0cc2ce50-e1cf-4c2b-b64e-47b5d9346fee	0d17d034-2c42-42c9-854a-06c0587d20bb.htseq.counts.gz	5502e496a44ba2fbd1a469cdce1f3262	250459	validated
0d0bc489-f624-48e0-80cc-06498e4efc03	42646557-ce36-4faf-9340-ceb3fc0e969a.htseq.counts.gz	bdf9beb9d13524e9a0486b9b5cd26240	258825	validated
0d58d22a-311c-4647-bc41-9ecf4c621d92	2493b2a8-fe7c-4a6d-8616-459ebc5aa4b6.htseq.counts.gz	2fbae52e49c187756d6ffba9f03b6ec3	257174	validated
0d609b81-7056-427f-820a-fb22ebc37812	adf7637b-44d0-4125-96f9-e5907307cd08.htseq.counts.gz	eb1a709752142d336f576ddaa673f87b	252294	validated
0dcd932f-b9e7-42dc-b6f5-af199defe29f	4bc9290d-823f-4c98-8cca-f683588cbd49.htseq.counts.gz	21eff2eb37b576f30b0a76713c599e89	258145	validated
