"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"hsa-mir-1301" 66.678641287427 0.130450498121391 0.145596394164098 0.895973412462144 0.370266963417998 0.675654889829726
"hsa-mir-1304" 3.56377402830739 -0.704075543785526 0.340123107640225 -2.07006089257035 0.0384466425131783 0.248319749829775
"hsa-mir-1305" 1.29982900810181 -0.335084847262743 0.387480175358468 -0.864779332136792 0.38715991708149 0.681606762292581
"hsa-mir-1306" 46.0631409772906 0.307082350696878 0.146432078883189 2.09709752834857 0.0359849427487324 0.244318723637256
"hsa-mir-1307" 6167.15460554538 0.192670638576726 0.115811894828931 1.66365155203898 0.0961820833443327 0.343727679913905
"hsa-mir-130a" 340.025206018827 -0.14196044189938 0.105602704803328 -1.34428793432672 0.178855295711076 0.477207797726933
"hsa-mir-130b" 178.949427711788 -0.0292977124802732 0.151901541114314 -0.19287304306034 0.847058397143237 0.955931236727489
"hsa-mir-132" 340.639908843635 -0.177623992759425 0.101904599335687 -1.7430419619659 0.0813262852896431 0.321157183351625
"hsa-mir-133a-1" 12.6841400116366 -0.559027856947278 0.274981904087237 -2.03296234638745 0.0420563272996983 0.251925646863879
"hsa-mir-133a-2" 10.9725472447552 -0.49875483485531 0.270307192828155 -1.84514081788563 0.0650170568730297 0.30558016730324
"hsa-mir-133b" 3.97655954014034 -0.70445622471798 0.362516932583105 -1.94323674675937 0.0519875600758643 0.291116617407107
"hsa-mir-134" 1241.13909071285 -0.371668702810816 0.212468506151669 -1.74928844534494 0.0802411722500528 0.321157183351625
"hsa-mir-1343" 3.57488915610056 0.154974295369858 0.208575924988437 0.743011425592142 0.457474763061049 0.715390674664471
"hsa-mir-135a-1" 2.34064192556534 -0.649647564337506 0.419020809892069 -1.55039451263731 0.121046854817193 0.389763121877042
"hsa-mir-135a-2" 2.55193057079888 -0.479316417123712 0.440870629491461 -1.08720423875049 0.276946557961611 0.60614257571465
"hsa-mir-135b" 157.082391410457 -0.0432292217621055 0.228258179150379 -0.189387394234953 0.84978920363237 0.955931236727489
"hsa-mir-136" 139.566022531241 -0.269044969931287 0.179053849351832 -1.50259249329304 0.132944160336484 0.40412379087359
"hsa-mir-137" 7.81692326669879 -0.4254139349366 0.464273630478608 -0.916300015786059 0.359509559743545 0.670127634456289
"hsa-mir-138-1" 10.4902695970562 0.0390657848696439 0.218148449461904 0.179078902307147 0.857875747731945 0.957612404869129
"hsa-mir-138-2" 7.37375457424046 -0.00657014568320427 0.21779319952554 -0.0301669000571058 0.975933946438523 0.987244439195261
